City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
calama,-22.4667,-68.9333,48.92,32,71,5.86,CL,1630990861
cantanhede,-3.6333,-44.3767,74.26,90,31,2.3,BR,1630990861
kondagaon,19.6,81.6667,76.89,87,92,6.38,IN,1630990862
airai,-8.9266,125.4092,71.91,51,35,6.78,TL,1630990863
freeport,40.6576,-73.5832,72.25,76,8,3.0,US,1630990849
mamallapuram,12.6264,80.1722,89.65,57,99,13.29,IN,1630990863
bintulu,3.1667,113.0333,82.6,72,93,5.44,MY,1630990864
sioux lookout,50.1001,-91.917,56.64,91,100,6.42,CA,1630990864
chokurdakh,70.6333,147.9167,35.67,68,100,20.69,RU,1630990864
grand-santi,4.25,-54.3833,71.67,100,100,2.55,GF,1630990865
iqaluit,63.7506,-68.5145,41.11,68,29,8.43,CA,1630990816
tarko-sale,64.9225,77.785,53.4,51,15,21.43,RU,1630990865
las vegas,36.175,-115.1372,95.41,17,1,1.01,US,1630990584
zaliztsi,49.7919,25.373,47.03,67,77,6.53,UA,1630990866
omboue,-1.5746,9.2618,73.45,83,79,4.03,GA,1630990867
hervey bay,-25.2986,152.8535,75.31,52,0,20.87,AU,1630990788
palora,-1.7,-77.9333,63.03,90,96,2.1,EC,1630990867
evensk,61.95,159.2333,51.49,70,95,7.23,RU,1630990868
kussnacht,47.0856,8.4421,60.75,92,0,0.0,CH,1630990868
eyl,7.9803,49.8164,82.63,61,97,23.09,SO,1630990868
shihezi,44.3,86.0333,91.94,13,0,2.77,CN,1630990869
san patricio,28.017,-97.5169,84.85,73,45,8.23,US,1630990869
ranong,9.9658,98.6348,83.55,73,100,7.23,TH,1630990870
abaete,-19.16,-45.4458,72.28,33,1,5.79,BR,1630990870
san quintin,30.4833,-115.95,72.34,81,62,4.5,MX,1630990611
natitingou,10.3042,1.3796,69.21,96,8,1.16,BJ,1630990871
plettenberg bay,-34.0527,23.3716,51.78,79,79,4.12,ZA,1630990872
saint-louis,16.3333,-15.0,81.99,71,66,11.23,SN,1630990872
pemba,-12.974,40.5178,75.27,72,9,1.01,MZ,1630990872
lata,40.1629,-8.3327,69.35,91,95,4.76,PT,1630990873
yepifan,53.8253,38.5518,45.46,65,13,10.78,RU,1630990873
novoagansk,61.9449,76.6625,55.31,53,94,11.3,RU,1630990874
skelleftea,64.7507,20.9528,53.01,67,0,5.75,SE,1630990874
taywarah,33.35,64.4167,71.85,11,0,3.53,AF,1630990875
koson,39.0375,65.585,79.12,11,0,11.92,UZ,1630990875
big rapids,43.6981,-85.4837,52.61,97,1,0.0,US,1630990597
beloha,-25.1667,45.05,72.32,47,0,7.07,MG,1630990876
ewa beach,21.3156,-158.0072,79.09,76,18,11.81,US,1630990588
ponta do sol,32.6667,-17.1,72.72,79,29,5.91,PT,1630990876
takab,36.4009,47.1133,72.79,14,0,2.33,IR,1630990877
inhambane,-23.865,35.3833,71.82,85,4,0.49,MZ,1630990877
toora-khem,52.4675,96.11,66.56,35,2,11.5,RU,1630990878
wufeng,27.45,104.8333,64.69,60,95,4.29,CN,1630990878
kenai,60.5544,-151.2583,53.02,91,74,6.13,US,1630990879
kavaratti,10.5669,72.642,81.5,79,100,18.39,IN,1630990879
tyulgan,52.3405,56.166,51.55,67,10,2.66,RU,1630990879
svetlogorsk,52.6333,29.7333,46.94,70,96,4.63,BY,1630990880
deputatskiy,69.3,139.9,35.29,66,100,13.73,RU,1630990880
touros,-5.1989,-35.4608,76.42,77,32,13.6,BR,1630990881
awjilah,29.1081,21.2869,76.98,60,0,10.8,LY,1630990881
fort-shevchenko,44.5086,50.263,67.57,71,100,21.77,KZ,1630990882
filingue,14.3521,3.3168,81.48,66,91,13.02,NE,1630990882
laguna,38.421,-121.4238,89.31,32,1,1.99,US,1630990882
ust-shonosha,61.1531,41.343,44.58,89,100,10.42,RU,1630990883
padang,-0.9492,100.3543,80.58,82,81,4.38,ID,1630990863
qaqortoq,60.7167,-46.0333,39.7,77,90,3.18,GL,1630990884
khuzdar,27.7384,66.6434,88.39,34,23,1.79,PK,1630990884
unguia,8.0434,-77.0945,74.19,98,99,3.27,CO,1630990885
villarrica,-25.75,-56.4333,75.38,61,23,5.26,PY,1630990885
mushie,-3.0167,16.9,74.08,77,81,2.71,CD,1630990885
manggar,-2.8833,108.2667,81.23,76,99,7.45,ID,1630990886
bima,-8.4667,118.7167,92.43,44,60,10.85,ID,1630990886
antalaha,-14.9003,50.2788,70.79,87,93,11.68,MG,1630990887
kautokeino,69.0125,23.0412,43.12,91,81,5.35,NO,1630990887
kudahuvadhoo,2.6708,72.8944,83.19,72,100,11.61,MV,1630990888
sokoto,13.0609,5.239,76.87,77,91,12.57,NG,1630990888
algiers,36.7525,3.042,71.42,64,0,2.3,DZ,1630990888
tobermory,45.2501,-81.6665,50.31,72,10,10.22,CA,1630990889
kloulklubed,7.0419,134.2556,88.3,71,100,8.43,PW,1630990889
gornopravdinsk,60.05,69.9,50.63,74,94,7.63,RU,1630990890
kamaishi,39.2667,141.8833,67.87,61,62,8.05,JP,1630990890
zalari,53.5584,102.5065,42.1,87,100,3.69,RU,1630990891
guaratinga,-16.5667,-39.5667,72.27,88,74,3.91,BR,1630990891
pisco,-13.7,-76.2167,62.02,85,94,2.33,PE,1630990891
kawalu,-7.3817,108.2082,80.85,74,75,5.61,ID,1630990892
kyaukse,21.6,96.1333,87.8,79,75,1.14,MM,1630990892
tabuk,17.4189,121.4443,89.06,59,23,0.94,PH,1630990893
urmary,55.6789,47.944,42.78,61,90,11.72,RU,1630990893
adre,13.4667,22.2,70.36,91,99,5.55,TD,1630990894
tecoanapa,16.5167,-98.75,78.89,87,99,2.28,MX,1630990894
chapleau,47.8405,-83.4034,46.62,97,32,4.29,CA,1630990894
ixtapa,20.7,-105.2,74.23,100,100,1.01,MX,1630990895
yaan,7.3833,8.5667,70.83,99,100,3.56,NG,1630990895
luganville,-15.5333,167.1667,78.4,70,97,5.57,VU,1630990896
acaponeta,22.4964,-105.3594,77.09,92,100,0.83,MX,1630990896
joshimath,30.5667,79.5667,77.49,75,73,6.15,IN,1630990897
poum,-20.2333,164.0167,72.41,72,22,25.52,NC,1630990897
te anau,-45.4167,167.7167,46.06,84,88,5.57,NZ,1630990897
vestmannaeyjar,63.4427,-20.2734,51.24,76,95,11.72,IS,1630990898
luanda,-8.8368,13.2343,71.6,88,75,2.3,AO,1630990898
marsa matruh,31.3525,27.2453,76.62,66,0,3.56,EG,1630990899
nova granada,-20.5339,-49.3142,71.92,33,2,7.85,BR,1630990899
invermere,50.5167,-116.0354,56.46,51,14,3.0,CA,1630990899
rafsanjan,30.4067,55.9939,79.16,11,0,6.53,IR,1630990900
cortez,37.3489,-108.5859,70.93,40,0,9.06,US,1630990900
kralendijk,12.15,-68.2667,82.67,78,4,17.96,BQ,1630990901
kasongo,-4.45,26.6667,73.08,73,66,1.3,CD,1630990901
hovd,48.0056,91.6419,67.32,26,5,8.68,MN,1630990902
geraldton,-28.7667,114.6,86.41,15,0,16.11,AU,1630990902
port hedland,-20.3167,118.5667,80.65,32,17,17.27,AU,1630990902
zhanakorgan,43.9098,67.2495,88.41,12,0,15.35,KZ,1630990903
aktas,49.7789,72.9608,74.95,28,12,7.76,KZ,1630990903
ust-karsk,52.7011,118.8077,64.96,38,94,2.15,RU,1630990904
mende,44.6667,3.5,51.55,87,2,4.32,FR,1630990904
pipar,26.3856,73.5378,92.43,54,97,1.95,IN,1630990905
talara,-4.5772,-81.2719,64.76,84,90,17.92,PE,1630990905
gayeri,12.6497,0.4931,73.4,81,81,8.57,BF,1630990906
barentu,15.1139,37.5928,71.65,78,99,3.96,ER,1630990906
chicama,-7.8447,-79.1469,62.91,88,78,6.55,PE,1630990906
blantyre,-15.785,35.0085,66.65,51,2,8.05,MW,1630990828
goure,13.9835,10.2704,74.01,74,100,4.18,NE,1630990907
vendas novas,38.6771,-8.4579,69.42,90,98,6.11,PT,1630990907
dudinka,69.4058,86.1778,53.15,65,28,13.56,RU,1630990908
altay,47.8667,88.1167,78.93,20,1,6.2,CN,1630990908
itarema,-2.9248,-39.9167,78.73,73,56,18.37,BR,1630990909
healesville,-37.65,145.5167,61.32,71,99,5.01,AU,1630990909
kalga,50.9251,118.898,58.33,54,89,6.69,RU,1630990909
cattolica,43.9575,12.7376,66.79,76,0,3.44,IT,1630990910
usinsk,65.9939,57.5281,37.8,96,100,21.63,RU,1630990910
andenes,69.3143,16.1194,48.18,87,75,4.61,NO,1630990911
kearney,40.6995,-99.0815,75.99,72,0,11.01,US,1630990674
baruun-urt,46.6806,113.2792,62.35,35,45,4.45,MN,1630990912
chipinge,-20.1883,32.6236,62.82,60,3,2.08,ZW,1630990912
kosa,59.9445,54.9977,43.0,71,90,8.81,RU,1630990913
okha,53.5739,142.9478,65.93,50,0,3.36,RU,1630990913
fethiye,36.6217,29.1164,67.87,55,0,2.39,TR,1630990913
malakal,9.5334,31.6605,72.46,93,88,1.43,SS,1630990914
clyde,41.3042,-82.9752,63.55,81,3,4.83,US,1630990914
puerto narino,-3.7703,-70.3831,73.17,97,87,2.1,CO,1630990915
caluquembe,-13.7833,14.6833,58.78,67,76,3.65,AO,1630990915
umba,66.6871,34.3429,38.05,80,9,5.44,RU,1630990915
tonosho,34.4833,134.1833,84.02,71,100,11.14,JP,1630990916
karratha,-20.7377,116.8463,81.75,22,37,23.04,AU,1630990916
acarau,-2.8856,-40.12,78.82,75,52,18.68,BR,1630990917
mocuba,-16.8392,36.9856,73.71,53,0,5.77,MZ,1630990917
port macquarie,-31.4333,152.9167,67.75,34,0,7.9,AU,1630990918
port hardy,50.6996,-127.4199,57.52,88,100,5.39,CA,1630990818
pangnirtung,66.1451,-65.7125,38.88,81,18,1.3,CA,1630990918
mount kisco,41.2043,-73.7271,69.82,83,1,6.91,US,1630990919
meulaboh,4.1363,96.1285,85.3,66,47,2.64,ID,1630990919
saint-francois,46.4154,3.9054,58.17,93,0,2.3,FR,1630990919
alyangula,-13.8483,136.4192,80.04,64,14,19.75,AU,1630990920
cayenne,4.9333,-52.3333,79.09,89,90,2.3,GF,1630990813
emerald,-23.5333,148.1667,79.07,16,0,15.77,AU,1630990836
port moresby,-9.4431,147.1797,80.22,72,96,22.66,PG,1630990921
vicuna,-30.0319,-70.7081,51.28,80,0,0.78,CL,1630990921
annau,37.8876,58.516,87.17,18,0,12.24,TM,1630990921
kamennomostskoye,43.7372,43.0514,49.53,99,99,3.96,RU,1630990922
kolokani,13.5728,-8.0339,73.18,85,48,3.58,ML,1630990922
kvarkeno,52.0833,59.725,53.91,57,60,8.59,RU,1630990923
batticaloa,7.7102,81.6924,88.47,54,100,1.97,LK,1630990923
skotterud,59.9828,12.1283,57.2,96,100,3.51,NO,1630990924
okakarara,-20.5833,17.4333,52.03,18,0,4.52,NA,1630990924
noyabrsk,63.1994,75.4507,53.42,52,62,17.47,RU,1630990925
gasa,31.5,34.4667,78.78,65,10,5.14,PS,1630990925
sitka,57.0531,-135.33,54.52,90,100,2.77,US,1630990925
kashi,39.4547,75.9797,82.44,20,0,3.33,CN,1630990926
umm kaddadah,13.6017,26.6876,79.57,56,100,4.56,SD,1630990926
zyryanka,65.75,150.85,42.58,76,100,20.89,RU,1630990927
ayan,56.45,138.1667,62.92,57,11,13.24,RU,1630990927
nuuk,64.1835,-51.7216,39.81,93,75,9.22,GL,1630990875
middelburg,-25.7751,29.4648,58.6,49,99,6.64,ZA,1630990891
cabadiangan,9.7531,122.4739,77.27,94,100,6.89,PH,1630990928
pinar del rio,22.4175,-83.6981,75.02,89,100,4.27,CU,1630990929
cross lanes,38.4204,-81.7907,63.61,97,9,3.24,US,1630990877
wajir,1.7471,40.0573,75.49,72,55,15.97,KE,1630990929
iwaki,37.05,140.8833,72.77,57,48,10.69,JP,1630990930
